city,bedrooms,bathrooms,square_feet,year_built,price
Jacksonville,4,1,3442,2007,529952.37
Denver,5,1,4873,2009,1105446.13
San Francisco,5,3,1516,1990,1000016.73
Houston,2,1,1025,1932,168208.67
New York,4,2,1159,1992,745725.21
Seattle,6,5,2194,2003,947007.05
San Jose,1,1,4576,1934,1522594.02
Fort Worth,6,2,2988,1995,573602.98
San Antonio,1,1,3415,1956,398776.91
Chicago,1,1,3417,1933,527619.22
Fort Worth,2,1,1324,1965,224002.12
Seattle,5,2,4974,1957,1462243.42
Los Angeles,3,1,3147,2014,1105454.75
New York,2,1,4134,1955,1458811.47
Houston,2,1,3413,1993,503267.98
San Francisco,6,5,4624,1961,2170068.72
New York,6,4,2307,1927,1194809.28
Seattle,5,1,1349,1931,543108.12
Seattle,2,1,1492,1991,500075.29
Denver,6,4,1382,1993,614809.0
San Antonio,1,1,1192,2005,187007.3
Fort Worth,4,3,4333,2018,718639.95
Fort Worth,5,3,1820,1941,374621.9
Philadelphia,2,1,2691,2024,487593.84
Philadelphia,1,1,3951,1996,625201.8
Los Angeles,2,1,4577,1931,1240518.61
Miami,5,4,1687,1961,666394.54
San Antonio,5,4,4894,1929,683390.16
Indianapolis,2,1,3474,2008,408909.4
Miami,4,3,2308,1973,746006.0
San Diego,1,1,1025,1938,278287.39
Indianapolis,4,3,3855,1949,461300.88
Chicago,2,1,1885,1960,353188.14
San Jose,2,1,2259,1923,828987.69
Miami,4,2,3236,2000,953715.47
Indianapolis,6,5,1280,1974,316470.89
San Francisco,4,3,2469,2004,1268551.73
Philadelphia,4,2,4270,1935,694581.15
Austin,5,4,3617,1930,1122161.18
Columbus,2,1,4665,1934,498795.18
Miami,4,3,3754,1963,1005905.16
Austin,1,1,1715,1948,424145.85
Chicago,2,1,1944,1931,325824.23
Houston,1,1,1909,1950,271009.25
Miami,4,1,3835,1979,1010123.83
Columbus,4,2,4070,1994,529064.35
Seattle,3,2,3297,2011,1012665.49
Charlotte,5,2,1421,1950,353236.72
Fort Worth,4,2,867,1943,213700.51
San Francisco,6,3,2051,1947,1203054.99
Miami,5,1,851,1964,425848.27
San Antonio,6,3,595,1939,217959.27
Seattle,2,1,1986,1920,503749.95
Charlotte,6,4,1795,2015,501190.25
Columbus,4,1,4032,1971,484200.69
Jacksonville,5,1,4636,1941,593835.86
Indianapolis,5,1,981,1928,183065.45
San Francisco,1,1,1779,2022,856901.24
Austin,4,2,2751,2010,855735.81
Philadelphia,6,1,3432,1990,678359.1
Charlotte,2,1,2388,2008,444864.41
Fort Worth,2,1,3104,1979,430278.74
San Diego,1,1,3880,1935,956269.71
Chicago,2,1,2832,1948,472029.34
San Antonio,6,5,1200,2001,342834.65
Fort Worth,6,4,1565,1998,440338.27
Fort Worth,4,3,2585,1965,463277.32
Denver,3,2,2736,1944,609836.92
Denver,1,1,4272,2001,870885.5
Miami,6,3,3796,2020,1165356.16
New York,3,1,2190,1928,839840.77
San Jose,2,1,4071,2004,1460304.0
Denver,4,3,3159,2005,801669.54
Jacksonville,2,1,3524,1937,406523.06
Fort Worth,6,4,3501,2020,669255.98
Jacksonville,2,1,1917,2006,285084.23
San Francisco,3,2,1602,1987,883610.95
Philadelphia,3,1,1602,1935,292514.59
Charlotte,4,1,1424,1921,275921.74
San Francisco,5,2,4451,1989,2039997.85
Phoenix,5,2,560,1982,259327.58
Phoenix,3,1,781,1983,219648.3
Denver,6,5,601,2008,504965.99
New York,3,1,3096,2015,1313979.75
Philadelphia,6,3,731,1987,326326.57
Columbus,5,1,594,1927,142657.56
Charlotte,4,2,702,1934,221973.39
Columbus,1,1,944,1971,133722.13
Chicago,3,2,2201,2010,479930.56
Chicago,2,1,1103,2002,274581.56
New York,3,1,4216,1977,1590616.01
Indianapolis,2,1,3665,1952,411190.36
Chicago,3,1,3886,1959,649697.8
Los Angeles,6,1,1282,2019,815092.22
Dallas,5,2,4207,2002,765013.71
Indianapolis,6,2,3166,2015,464171.52
Denver,6,3,3219,2000,879239.64
San Antonio,6,1,1299,1997,306986.24
Columbus,3,1,3113,1976,365369.09
Jacksonville,5,3,2485,1964,436448.68
San Antonio,1,1,2058,1984,266218.5
Seattle,5,1,2700,1968,850292.52
New York,4,1,3598,1950,1318434.24
Houston,5,1,2031,1997,415896.07
San Jose,6,5,3008,1934,1527756.45
San Francisco,2,1,4821,1922,1718507.46
Dallas,6,1,3328,1933,578675.77
Columbus,2,1,2970,1980,334147.77
Seattle,4,1,1385,2003,616561.34
Austin,5,4,3909,1948,1187856.92
Columbus,3,1,3650,1976,446787.78
Indianapolis,5,3,2089,1965,348290.23
San Antonio,3,1,1727,1958,276470.14
Fort Worth,4,3,3624,1925,572370.3
Austin,3,1,2432,1929,667552.15
Philadelphia,4,2,1640,1968,372200.4
Fort Worth,3,2,2552,1991,424095.93
San Diego,1,1,3261,1927,732917.86
Charlotte,6,2,2904,1951,556558.1
Miami,3,1,1612,1936,427159.14
Chicago,1,1,3035,2011,539743.32
Dallas,5,4,897,2020,361335.82
Austin,2,1,1755,2005,533900.39
New York,6,5,2202,1984,1227704.94
Indianapolis,4,1,732,2014,189157.68
Seattle,3,2,3688,1955,1069019.98
Indianapolis,1,1,1827,2012,233763.48
New York,6,3,3890,1925,1534085.51
Miami,2,1,2271,1928,541620.61
Phoenix,1,1,696,2000,178135.5
San Antonio,6,2,893,2019,292678.85
Chicago,3,1,2601,1986,513332.72
Indianapolis,1,1,4405,1952,461968.03
New York,5,2,2038,2024,1164831.28
Columbus,3,1,4038,1935,436339.02
Columbus,5,2,4428,1962,535728.15
Denver,6,1,2118,2003,698668.61
Austin,2,1,3266,1921,731252.19
San Antonio,2,1,4314,1921,490234.15
Fort Worth,6,1,3971,1972,666194.76
Fort Worth,6,3,649,2016,302711.15
Columbus,1,1,3893,1966,418447.45
San Diego,2,1,3346,1930,878208.81
Dallas,5,4,2282,2017,539834.44
Columbus,1,1,3955,1982,404235.37
Chicago,3,1,1271,1960,303523.76
Dallas,5,3,2368,1922,472099.21
Jacksonville,6,4,1484,1963,346499.82
San Antonio,6,5,1098,1941,316123.44
Austin,5,3,4394,2003,1253636.32
Fort Worth,1,1,2107,1969,310771.04
San Diego,2,1,4571,1968,1127812.51
Chicago,5,1,836,2003,344220.01
Dallas,2,1,4179,1933,603302.45
Miami,3,1,2137,2011,625886.07
Dallas,1,1,1708,1946,244751.95
Fort Worth,2,1,2886,1941,410778.64
Houston,3,1,4326,2005,640062.36
Jacksonville,6,3,2836,1983,484504.96
San Antonio,3,2,625,1983,179759.79
Denver,4,2,2493,1968,639364.09
Jacksonville,4,2,1338,1936,233722.22
Dallas,3,2,1927,2020,421236.19
Columbus,5,3,4710,1930,567663.69
Denver,3,1,4202,1954,867593.32
San Antonio,3,2,1948,1969,295483.99
Philadelphia,5,4,1644,2010,449589.17
Austin,4,2,1907,1943,644599.53
San Jose,4,1,1869,1975,912530.72
Charlotte,5,4,1946,1997,502346.03
Charlotte,4,1,1344,1944,282035.47
Houston,2,1,3017,2019,467385.55
San Francisco,6,2,3787,1992,1859586.47
Columbus,1,1,2652,1981,302276.36
San Francisco,6,4,1865,1940,1150971.29
San Antonio,6,4,1628,2021,394574.37
Chicago,4,2,1985,1999,496225.52
Seattle,3,2,2241,1944,686017.06
Philadelphia,5,3,4276,1964,724848.97
Jacksonville,3,2,2620,1999,401778.64
Columbus,4,3,683,1965,184107.08
San Diego,4,3,741,1923,402700.95
Seattle,4,3,3184,1938,982633.06
Dallas,5,4,2278,1949,482462.72
San Jose,4,1,2422,1956,1078706.6
Philadelphia,1,1,2364,1963,341478.4
San Jose,3,2,1485,2000,795563.69
Columbus,4,1,3745,2023,507383.01
San Antonio,2,1,2021,1922,255692.81
Dallas,6,4,4192,1948,773126.31
New York,2,1,1753,1921,577396.37
San Jose,2,1,4819,1942,1642590.62
Phoenix,3,2,3515,1929,541469.42
Austin,3,2,4729,1990,1263614.67
Columbus,4,2,2660,1997,400786.58
Denver,6,1,1145,1977,484468.79
Charlotte,6,4,2876,1964,624082.23
Indianapolis,1,1,4725,2006,524331.52
San Jose,1,1,796,2014,478481.73
Dallas,3,1,1469,1933,267500.08
Charlotte,5,2,1415,1934,346426.97
Phoenix,1,1,1320,1987,237395.69
Philadelphia,3,2,773,1982,239932.85
Jacksonville,5,3,3362,2014,548965.92
Dallas,4,3,2051,1992,437296.98
Chicago,3,1,2168,1946,396301.89
Phoenix,3,2,2945,1984,535735.72
Indianapolis,1,1,4681,1988,486074.01
Philadelphia,3,2,1602,2016,358178.08
Jacksonville,4,3,572,2022,247376.66
San Diego,6,4,1979,1936,814865.38
Charlotte,5,3,973,1980,322633.4
Austin,6,3,1481,1956,669962.74
Phoenix,6,2,1687,1921,388765.45
San Francisco,3,1,1681,1964,844855.16
San Francisco,6,1,4304,1968,2014021.36
Chicago,5,2,3673,1929,695908.22
Chicago,1,1,3365,1922,485979.46
San Diego,2,1,2906,1950,770966.24
San Diego,4,3,874,2005,537521.5
San Jose,3,2,4503,1920,1599400.98
San Jose,3,1,2541,1969,1052000.35
Philadelphia,2,1,761,1945,154861.92
Phoenix,2,1,3078,2018,507139.04
Phoenix,4,1,3709,1929,606371.78
New York,6,3,3091,1996,1429083.32
Phoenix,6,2,3511,1993,716210.72
Austin,1,1,3471,1957,781027.17
San Jose,1,1,3800,1993,1349392.36
Austin,4,1,4445,1978,1217503.04
San Jose,6,5,1399,1935,997471.52
Chicago,1,1,1828,2005,343073.16
Miami,5,3,818,1927,427901.69
Austin,1,1,1559,1971,426832.53
Chicago,5,1,1621,2016,458216.7
Philadelphia,6,3,3353,1940,608839.24
Phoenix,1,1,3001,1947,431251.38
Philadelphia,5,2,1843,1956,388778.45
Seattle,2,1,3990,1939,1043812.75
Chicago,4,1,2799,1992,568405.79
San Francisco,5,3,1015,1960,842471.62
Dallas,4,3,1232,2018,380115.59
Los Angeles,1,1,1607,1930,455834.85
Philadelphia,2,1,3116,1933,455599.01
Chicago,1,1,3688,1944,589302.0
Philadelphia,2,1,675,1957,163345.34
San Jose,1,1,2890,2019,1141930.73
Phoenix,4,3,3119,1974,597627.12
Chicago,4,2,663,2002,298361.41
San Francisco,1,1,3820,1923,1345317.14
New York,2,1,4324,1976,1545479.38
Phoenix,4,2,2422,1922,409103.35
Fort Worth,2,1,1034,1947,171885.97
Austin,4,3,1750,1990,707573.73
Miami,1,1,4284,1967,949178.73
Fort Worth,4,3,2633,1929,432340.2
Denver,2,1,1285,1938,309711.45
San Antonio,5,3,3425,1925,510659.73
Fort Worth,3,2,3203,1928,442769.76
Austin,3,1,579,1927,237954.88
Indianapolis,1,1,4898,1975,524397.33
Houston,3,2,1766,1967,326984.12
Chicago,6,2,2636,1940,593719.09
Indianapolis,1,1,2519,2004,287096.53
Philadelphia,2,1,1967,2019,377135.93
Seattle,1,1,1982,1996,595436.86
Seattle,2,1,1475,1929,389907.96
San Antonio,5,4,4512,2010,716329.99
Seattle,6,4,4137,1979,1366963.32
San Jose,3,1,1006,1973,577365.62
San Antonio,2,1,523,1990,141701.41
Seattle,3,1,1582,1960,553412.8
Phoenix,3,2,3264,2015,587835.26
Charlotte,5,1,701,1969,258514.66
Houston,1,1,3706,1939,476396.31
New York,5,2,4331,1921,1560917.99
Chicago,3,2,4742,2010,835356.92
Columbus,6,1,1049,1959,222627.15
Dallas,3,2,2734,1936,445833.99
Philadelphia,4,3,1844,1997,447391.86
New York,2,1,3522,2002,1327806.47
Indianapolis,4,1,2743,1996,382063.82
San Antonio,6,3,2684,1956,475230.83
New York,1,1,2256,2016,910077.15
Columbus,2,1,602,2006,131583.61
Philadelphia,4,1,4734,2007,776724.56
Columbus,5,2,1766,1933,267934.13
Columbus,5,2,2024,1994,341103.15
Seattle,2,1,4574,2000,1213864.06
Houston,3,2,1398,1980,291441.91
Columbus,2,1,4595,1920,472793.2
Fort Worth,5,3,3526,1978,603370.08
New York,3,1,3237,1995,1250504.84
Austin,1,1,2161,1975,572268.41
Austin,6,5,1230,1957,637852.89
New York,4,2,3183,1932,1196783.38
San Francisco,1,1,4294,2017,1748993.89
Houston,3,2,1149,1955,238935.88
San Francisco,5,2,625,1989,703953.3
Los Angeles,5,2,3293,1946,1211992.9
Dallas,2,1,4634,2022,768890.87
Houston,4,1,4687,1981,726419.27
San Diego,4,2,3305,1950,1030439.76
Phoenix,6,2,3840,2002,736945.21
Fort Worth,4,3,3411,1949,550908.2
San Antonio,1,1,3461,2021,453954.03
Seattle,1,1,810,1925,194988.79
Houston,5,3,3061,2019,562667.03
Columbus,6,2,983,1943,225466.78
Fort Worth,2,1,2878,1962,428343.94
Indianapolis,3,2,4499,1997,552787.14
